指标,随机初始化,推荐策略(heuristic)
Makespan均值,131.35,117.95
Makespan标准差,6.60,5.23
Makespan最小值,122,106
Makespan最大值,144,125
收敛代数均值,26.00,14.05
收敛代数标准差,11.42,5.13
执行时间均值(s),19.36,16.93
执行时间标准差(s),1.25,0.86
Makespan评分,0.8839,0.8945
收敛速度评分,0.7400,0.8595
稳定性评分,0.6025,0.6566
收敛稳定性评分,0.4668,0.6608
Makespan改进率(%),-,10.20
收敛速度改进率(%),-,45.96
稳定性改进率(%),-,20.74
收敛稳定性改进率(%),-,55.07
时间性能改进率(%),-,12.56
