指标,随机初始化,推荐策略(heuristic)
Makespan均值,134.35,119.25
Makespan标准差,5.86,5.37
Makespan最小值,122,113
Makespan最大值,145,129
收敛代数均值,23.70,13.10
收敛代数标准差,8.19,4.47
执行时间均值(s),4.18,3.75
执行时间标准差(s),0.09,0.21
Makespan评分,0.8816,0.8935
收敛速度评分,0.7630,0.8690
稳定性评分,0.6306,0.6508
收敛稳定性评分,0.5497,0.6910
Makespan改进率(%),-,11.24
收敛速度改进率(%),-,44.73
稳定性改进率(%),-,8.42
收敛稳定性改进率(%),-,45.42
时间性能改进率(%),-,10.32
