指标,随机初始化,推荐策略(heuristic)
Makespan均值,131.00,120.10
Makespan标准差,8.69,6.35
Makespan最小值,115,109
Makespan最大值,147,130
收敛代数均值,29.05,12.60
收敛代数标准差,17.33,4.47
执行时间均值(s),17.47,15.59
执行时间标准差(s),0.89,0.58
Makespan评分,0.8842,0.8928
收敛速度评分,0.7095,0.8740
稳定性评分,0.5349,0.6117
收敛稳定性评分,0.3659,0.6913
Makespan改进率(%),-,8.32
收敛速度改进率(%),-,56.63
稳定性改进率(%),-,27.00
收敛稳定性改进率(%),-,74.23
时间性能改进率(%),-,10.74
