指标,随机初始化,推荐策略(heuristic)
Makespan均值,562.40,609.40
Makespan标准差,16.77,16.66
Makespan最小值,533,579
Makespan最大值,591,647
收敛代数均值,27.75,16.30
收敛代数标准差,15.18,6.27
执行时间均值(s),116.12,114.71
执行时间标准差(s),3.22,5.10
Makespan评分,0.6400,0.6213
收敛速度评分,0.7225,0.8370
稳定性评分,0.3735,0.3751
收敛稳定性评分,0.3972,0.6146
Makespan改进率(%),-,-8.36
收敛速度改进率(%),-,41.26
稳定性改进率(%),-,0.68
收敛稳定性改进率(%),-,58.68
时间性能改进率(%),-,1.21
