指标,随机初始化,推荐策略(heuristic)
Makespan均值,131.40,116.35
Makespan标准差,8.02,5.66
Makespan最小值,116,105
Makespan最大值,151,126
收敛代数均值,27.00,13.90
收敛代数标准差,11.39,5.42
执行时间均值(s),18.99,16.37
执行时间标准差(s),0.84,0.86
Makespan评分,0.8839,0.8958
收敛速度评分,0.7300,0.8610
稳定性评分,0.5549,0.6386
收敛稳定性评分,0.4674,0.6485
Makespan改进率(%),-,11.45
收敛速度改进率(%),-,48.52
稳定性改进率(%),-,29.45
收敛稳定性改进率(%),-,52.42
时间性能改进率(%),-,13.78
