指标,随机初始化,推荐策略(heuristic)
Makespan均值,132.70,117.65
Makespan标准差,4.75,4.92
Makespan最小值,123,112
Makespan最大值,141,126
收敛代数均值,27.45,16.00
收敛代数标准差,14.70,6.40
执行时间均值(s),8.60,4.14
执行时间标准差(s),1.56,0.36
Makespan精度,0.8828,0.8947
求解稳定性,0.6777,0.6701
收敛效率,0.7255,0.8400
收敛稳定性,0.4049,0.6096
Makespan改进率(%),-,11.34
收敛速度改进率(%),-,41.71
稳定性改进率(%),-,-3.52
收敛稳定性改进率(%),-,56.44
时间性能改进率(%),-,51.82
